Time,Heating (kW),Cooling (kW)
2019-01-01 0:00,1644.13,406.24
2019-01-01 1:00,1543.08,405.28
2019-01-01 2:00,1507.09,630.49
2019-01-01 3:00,1398.06,616.84
2019-01-01 4:00,1380.45,402.68
2019-01-01 5:00,-0.01,-0.01
2019-01-01 6:00,4654.94,334.38
2019-01-01 7:00,5593.16,335.46
2019-01-01 8:00,5354.61,344.16
2019-01-01 9:00,5571.9,553.25
2019-01-01 10:00,5525.79,857.26
2019-01-01 11:00,5661.77,459.92
2019-01-01 12:00,5561.29,486.24
2019-01-01 13:00,5727.73,858.48
2019-01-01 14:00,5723.62,468.93
2019-01-01 15:00,5833.57,450.07
2019-01-01 16:00,5771.37,893.1
2019-01-01 17:00,5809.82,475.33
2019-01-01 18:00,1559.35,429
2019-01-01 19:00,2000.47,806.42
2019-01-01 20:00,2098.97,491.51
2019-01-01 21:00,1837.15,427.06
2019-01-01 22:00,2012.98,405.12
2019-01-01 23:00,2032.93,526.83
2019-01-02 0:00,2068.8,536.56
2019-01-02 1:00,2074.5,354.92
2019-01-02 2:00,2087.5,356.44
2019-01-02 3:00,1982.22,353.69
2019-01-02 4:00,2213.88,355.49
2019-01-02 5:00,2761.3,468.52
2019-01-02 6:00,6032.54,724.6
2019-01-02 7:00,7960.43,409.96
2019-01-02 8:00,7573.15,420.77
2019-01-02 9:00,7310.9,443.7
2019-01-02 10:00,6940.51,457.09
2019-01-02 11:00,6429.28,475.54
2019-01-02 12:00,6350.55,477.02
2019-01-02 13:00,6038.77,493.6
2019-01-02 14:00,6136.38,490.94
2019-01-02 15:00,6021.64,498.75
2019-01-02 16:00,5901.3,494
2019-01-02 17:00,5868.46,964.61
2019-01-02 18:00,1941.66,545.81
2019-01-02 19:00,2350.39,497.88
2019-01-02 20:00,2195.25,495.74
2019-01-02 21:00,2136.9,487.24
2019-01-02 22:00,1901.65,472.48
2019-01-02 23:00,2076.92,440.46
2019-01-03 0:00,2082.6,431.76
2019-01-03 1:00,1975.73,841.33
2019-01-03 2:00,1989.62,497.25
2019-01-03 3:00,2021.11,410.29
2019-01-03 4:00,1920.13,415.21
2019-01-03 5:00,2597.02,422.8
2019-01-03 6:00,5813.47,429.98
2019-01-03 7:00,7416.71,431.81
2019-01-03 8:00,6858.69,453.13
2019-01-03 9:00,6288.66,474.36
2019-01-03 10:00,5992.52,487.96
2019-01-03 11:00,5841.62,495.63
2019-01-03 12:00,5584.53,529.28
2019-01-03 13:00,5519.29,509.35
2019-01-03 14:00,5547.78,510.36
2019-01-03 15:00,5273.44,556.96
2019-01-03 16:00,4908.68,556.8
2019-01-03 17:00,4744.22,975.01
2019-01-03 18:00,1325.98,574.4
2019-01-03 19:00,1807.98,513.77
2019-01-03 20:00,1640.2,654.21
2019-01-03 21:00,1534.61,1261.18
2019-01-03 22:00,1359.83,1327.57
2019-01-03 23:00,1429.34,944.32
2019-01-04 0:00,1501.26,836.75
2019-01-04 1:00,1453.14,473.67
2019-01-04 2:00,1484.78,368.08
2019-01-04 3:00,1394,380.04
2019-01-04 4:00,1445.61,690.78
2019-01-04 5:00,1893.83,365.26
2019-01-04 6:00,4265.61,367.14
2019-01-04 7:00,5080.69,378.47
2019-01-04 8:00,4609.4,396.62
2019-01-04 9:00,3545.64,407.03
2019-01-04 10:00,3765.5,423.72
2019-01-04 11:00,3652.8,530.33
2019-01-04 12:00,3704.41,914.09
2019-01-04 13:00,3667.14,496.7
2019-01-04 14:00,3578,500.16
2019-01-04 15:00,4212.19,589.6
2019-01-04 16:00,3829.02,993.37
2019-01-04 17:00,3850.99,498.02
2019-01-04 18:00,1100.09,655.73
2019-01-04 19:00,1368.68,491.26
2019-01-04 20:00,1327.79,638.12
2019-01-04 21:00,993.21,904.12
2019-01-04 22:00,1250.17,655.43
2019-01-04 23:00,1229.93,660.59
2019-01-05 0:00,1321.62,776.28
2019-01-05 1:00,1207.17,628.07
2019-01-05 2:00,1168.76,615.48
2019-01-05 3:00,1181.25,906.83
2019-01-05 4:00,1244.08,752.48
2019-01-05 5:00,1344.37,619.01
2019-01-05 6:00,1149.2,567.83
2019-01-05 7:00,1362.39,159.56
2019-01-05 8:00,1148.62,4.9
2019-01-05 9:00,1077.8,0.53
2019-01-05 10:00,1149.5,3.13
2019-01-05 11:00,1024.7,3.01
2019-01-05 12:00,1043.49,3.36
2019-01-05 13:00,1033.83,4.39
2019-01-05 14:00,1178.27,3.89
2019-01-05 15:00,1218.61,2.88
2019-01-05 16:00,1365.13,5.42
2019-01-05 17:00,1251.48,4.86
2019-01-05 18:00,1245.47,3.79
2019-01-05 19:00,1175.56,3.55
2019-01-05 20:00,1231.4,5.11
2019-01-05 21:00,1115.77,3.48
2019-01-05 22:00,1299.76,4.66
2019-01-05 23:00,1312.01,7.64
2019-01-06 0:00,1440.4,3.83
2019-01-06 1:00,1167.13,3.85
2019-01-06 2:00,1258.6,5.57
2019-01-06 3:00,1332.65,3
2019-01-06 4:00,1309.95,3.16
2019-01-06 5:00,1202.12,4.68
2019-01-06 6:00,1362.74,5.15
2019-01-06 7:00,1477.42,3.94
2019-01-06 8:00,1448.68,3.11
2019-01-06 9:00,1401.21,3.92
2019-01-06 10:00,1415.76,1.53
2019-01-06 11:00,1374.06,25.45
2019-01-06 12:00,1463.57,264.46
2019-01-06 13:00,1553.51,448.89
2019-01-06 14:00,1511.57,476.17
2019-01-06 15:00,1614.35,743.96
2019-01-06 16:00,1650.77,540.44
2019-01-06 17:00,1689.22,433.99
2019-01-06 18:00,1700.68,437.62
2019-01-06 19:00,1819.36,717.09
2019-01-06 20:00,1812.66,400.87
2019-01-06 21:00,1888.06,407.75
2019-01-06 22:00,1850.22,467.01
2019-01-06 23:00,1966.7,665.18
2019-01-07 0:00,1916.79,390.14
2019-01-07 1:00,2039.54,346.45
2019-01-07 2:00,1860.5,255.62
2019-01-07 3:00,2020.23,421.75
2019-01-07 4:00,1941.31,402.67
2019-01-07 5:00,2721.03,323.5
2019-01-07 6:00,5864.59,308.32
2019-01-07 7:00,7524.34,282.01
2019-01-07 8:00,7221.6,345.63
2019-01-07 9:00,7176.77,484.79
2019-01-07 10:00,7106.99,500.18
2019-01-07 11:00,6556.65,455.44
2019-01-07 12:00,6464.63,468.7
2019-01-07 13:00,6069.64,506.93
2019-01-07 14:00,6179.28,495.69
2019-01-07 15:00,5912.87,522.46
2019-01-07 16:00,5809.16,568.06
2019-01-07 17:00,5666.42,878.39
2019-01-07 18:00,1715.17,521.17
2019-01-07 19:00,2087.35,491.35
2019-01-07 20:00,2122.23,466.46
2019-01-07 21:00,1899.98,447.9
2019-01-07 22:00,2004.1,426.42
2019-01-07 23:00,1973.74,410.02
2019-01-08 0:00,1950.8,372.44
2019-01-08 1:00,1963.2,365.17
2019-01-08 2:00,1940.84,362.28
2019-01-08 3:00,1839.87,352.05
2019-01-08 4:00,1872.52,339.22
2019-01-08 5:00,2387.17,356.01
2019-01-08 6:00,5545.95,374.46
2019-01-08 7:00,7141.74,374.17
2019-01-08 8:00,6356.02,394.91
2019-01-08 9:00,5950.83,415.62
2019-01-08 10:00,5398.45,425.89
2019-01-08 11:00,5193.39,437.24
2019-01-08 12:00,4867.43,466.42
2019-01-08 13:00,4784.9,502.76
2019-01-08 14:00,4733.4,519.71
2019-01-08 15:00,4630.69,538.94
2019-01-08 16:00,4335.03,991.69
2019-01-08 17:00,4132.16,581.08
2019-01-08 18:00,1210.1,555.96
2019-01-08 19:00,1544.61,897.58
2019-01-08 20:00,1491.49,1273.8
2019-01-08 21:00,1351.22,998.31
2019-01-08 22:00,1436.12,731.3
2019-01-08 23:00,1345.82,864.76
2019-01-09 0:00,1396.64,508.2
2019-01-09 1:00,1334.93,419.83
2019-01-09 2:00,1150.85,474.62
2019-01-09 3:00,1301.59,550.25
2019-01-09 4:00,1278.76,361.84
2019-01-09 5:00,1843.67,361.6
2019-01-09 6:00,3871.87,410.12
2019-01-09 7:00,3655.06,513.89
2019-01-09 8:00,3787.39,763.69
2019-01-09 9:00,3590.57,417.68
2019-01-09 10:00,4370.21,418.89
2019-01-09 11:00,3730.02,703.9
2019-01-09 12:00,3791.03,639.17
2019-01-09 13:00,3707.68,440.44
2019-01-09 14:00,3782.18,758.91
2019-01-09 15:00,3792.92,769.45
2019-01-09 16:00,3748.43,673.59
2019-01-09 17:00,3679.51,500.2
2019-01-09 18:00,1242.79,844.47
2019-01-09 19:00,1463.92,726.72
2019-01-09 20:00,1398.39,1015.76
2019-01-09 21:00,1454.64,1211.09
2019-01-09 22:00,1306.89,866.97
2019-01-09 23:00,1447.35,697.73
2019-01-10 0:00,1211.88,999.47
2019-01-10 1:00,1410.73,688.82
2019-01-10 2:00,1471.66,584.69
2019-01-10 3:00,1471.97,911.67
2019-01-10 4:00,1534.75,650.21
2019-01-10 5:00,1883.52,449.73
2019-01-10 6:00,4823.33,378.43
2019-01-10 7:00,5406.31,809.79
2019-01-10 8:00,5214.14,541.34
2019-01-10 9:00,4944.87,404.32
2019-01-10 10:00,4724.29,607.61
2019-01-10 11:00,4674.1,821.59
2019-01-10 12:00,4747.83,524.7
2019-01-10 13:00,4698.81,621.12
2019-01-10 14:00,4521.39,966.28
2019-01-10 15:00,4801.44,540.35
2019-01-10 16:00,4903.06,648.8
2019-01-10 17:00,4813.02,705.99
2019-01-10 18:00,1478.66,524.21
2019-01-10 19:00,1936.31,645.83
2019-01-10 20:00,2079.09,851.86
2019-01-10 21:00,1922.89,589.24
2019-01-10 22:00,1884.51,628.45
2019-01-10 23:00,1939.31,880.63
2019-01-11 0:00,1996.73,526.23
2019-01-11 1:00,2046.55,439.63
2019-01-11 2:00,2051.92,394.32
2019-01-11 3:00,2084.37,716.6
2019-01-11 4:00,2092,413.17
2019-01-11 5:00,2417.98,401.57
2019-01-11 6:00,5375.71,410.36
2019-01-11 7:00,7090.33,391.21
2019-01-11 8:00,6890.43,419.18
2019-01-11 9:00,6438.23,425.12
2019-01-11 10:00,6266.18,443.78
2019-01-11 11:00,5844.61,449.29
2019-01-11 12:00,5915.99,560.86
2019-01-11 13:00,5608.52,559.99
2019-01-11 14:00,5589.65,973.54
2019-01-11 15:00,5468.44,622.44
2019-01-11 16:00,5518.43,528.01
2019-01-11 17:00,5598.11,658.84
2019-01-11 18:00,2038.47,895.47
2019-01-11 19:00,2091.68,548.4
2019-01-11 20:00,2080.53,512.94
2019-01-11 21:00,2078.02,691.03
2019-01-11 22:00,2070.28,717.96
2019-01-11 23:00,2119.6,880.54
2019-01-12 0:00,2108.6,464.19
2019-01-12 1:00,2115.38,443.3
2019-01-12 2:00,2127.64,435.7
2019-01-12 3:00,2171.18,433.85
2019-01-12 4:00,2182.92,437.01
2019-01-12 5:00,2178.95,432.07
2019-01-12 6:00,2749.55,415.2
2019-01-12 7:00,6570.43,493.89
2019-01-12 8:00,6635.41,697.56
2019-01-12 9:00,6137.76,434.59
2019-01-12 10:00,5902.97,418.25
2019-01-12 11:00,5642.87,409.15
2019-01-12 12:00,5571.21,399.86
2019-01-12 13:00,5405.2,708.09
2019-01-12 14:00,5433.38,413.57
2019-01-12 15:00,5369.08,372.18
2019-01-12 16:00,1772.96,279.74
2019-01-12 17:00,2000.17,259.74
2019-01-12 18:00,1730.73,274.88
2019-01-12 19:00,1810.57,317.37
2019-01-12 20:00,1804.25,326.95
2019-01-12 21:00,1867.38,328.6
2019-01-12 22:00,1988.42,330.91
2019-01-12 23:00,2047.8,330.81
2019-01-13 0:00,1936.23,565.29
2019-01-13 1:00,1972.32,529.5
2019-01-13 2:00,1994.26,435.23
2019-01-13 3:00,2074.42,621.59
2019-01-13 4:00,1915.2,357.8
2019-01-13 5:00,2004.35,360.51
2019-01-13 6:00,1936.37,354.59
2019-01-13 7:00,2007.1,356.27
2019-01-13 8:00,1911.98,367.19
2019-01-13 9:00,1813.68,362.14
2019-01-13 10:00,1916.02,368.29
2019-01-13 11:00,1690.49,374.26
2019-01-13 12:00,2026.67,365.9
2019-01-13 13:00,1801.07,360.81
2019-01-13 14:00,1794.38,363.02
2019-01-13 15:00,1897.72,364.29
2019-01-13 16:00,1791.35,354.86
2019-01-13 17:00,1888.98,355.96
2019-01-13 18:00,1911.32,363.85
2019-01-13 19:00,2198.7,366.75
2019-01-13 20:00,1928.38,355.43
2019-01-13 21:00,1999.66,360.99
2019-01-13 22:00,1982.84,372.97
2019-01-13 23:00,2242.67,368.95
2019-01-14 0:00,2076.48,369.1
2019-01-14 1:00,2094.51,362.5
2019-01-14 2:00,2069.31,377.41
2019-01-14 3:00,2327.18,364.6
2019-01-14 4:00,2080.25,365
2019-01-14 5:00,2626.17,363.65
2019-01-14 6:00,5814.91,374.55
2019-01-14 7:00,7435.72,372.16
2019-01-14 8:00,7289.96,401.43
2019-01-14 9:00,7822.25,421.06
2019-01-14 10:00,7374.17,439.6
2019-01-14 11:00,6711.98,440.31
2019-01-14 12:00,6860.2,441.17
2019-01-14 13:00,6693.52,453.75
2019-01-14 14:00,6388.09,453.83
2019-01-14 15:00,6025.25,442.11
2019-01-14 16:00,5623.9,454.02
2019-01-14 17:00,5456.87,839.95
2019-01-14 18:00,1856.51,474.32
2019-01-14 19:00,1744.39,513.23
2019-01-14 20:00,1722.97,1476.9
2019-01-14 21:00,1676.97,1513.72
2019-01-14 22:00,1592.21,965.04
2019-01-14 23:00,1708.7,621.72
2019-01-15 0:00,1669.63,457.21
2019-01-15 1:00,1582.55,413.7
2019-01-15 2:00,1637.63,598.92
2019-01-15 3:00,1598.82,543.62
2019-01-15 4:00,1558.64,351.46
2019-01-15 5:00,2324.61,340.69
2019-01-15 6:00,5390.73,360.31
2019-01-15 7:00,6807.93,366.59
2019-01-15 8:00,5546.82,406.27
2019-01-15 9:00,5639.94,390.52
2019-01-15 10:00,5397.73,395.24
2019-01-15 11:00,5230.96,517.33
2019-01-15 12:00,5189.66,851.79
2019-01-15 13:00,5025.06,455.3
2019-01-15 14:00,4976.26,420.91
2019-01-15 15:00,4515.85,423.4
2019-01-15 16:00,4395.82,783.39
2019-01-15 17:00,4284.36,582.13
2019-01-15 18:00,1638.5,422.58
2019-01-15 19:00,1586.63,678.55
2019-01-15 20:00,1273.97,1434.37
2019-01-15 21:00,1160.31,947.02
2019-01-15 22:00,1484.53,749.41
2019-01-15 23:00,1406.84,726.03
2019-01-16 0:00,1521.45,840.88
2019-01-16 1:00,1423.01,527.42
2019-01-16 2:00,1447.42,465.93
2019-01-16 3:00,1494.71,420.38
2019-01-16 4:00,1460.28,670.42
2019-01-16 5:00,1896.88,427.91
2019-01-16 6:00,4608.38,386.51
2019-01-16 7:00,5295.89,369.32
2019-01-16 8:00,4779.22,577.56
2019-01-16 9:00,4440.21,623.91
2019-01-16 10:00,4622.27,513.94
2019-01-16 11:00,4211.08,457.25
2019-01-16 12:00,4708.38,917.28
2019-01-16 13:00,4706.96,659.98
2019-01-16 14:00,4813.32,910.98
2019-01-16 15:00,4524.21,544.15
2019-01-16 16:00,4571.6,574.24
2019-01-16 17:00,4658.87,958.51
2019-01-16 18:00,1966.68,466.51
2019-01-16 19:00,2009.94,461.04
2019-01-16 20:00,2089.81,1143.4
2019-01-16 21:00,1944.65,844.45
2019-01-16 22:00,1819.14,763.02
2019-01-16 23:00,1960.39,733.44
2019-01-17 0:00,1987.76,780.53
2019-01-17 1:00,1944.2,945.61
2019-01-17 2:00,2231.6,499.69
2019-01-17 3:00,2009.75,421.24
2019-01-17 4:00,2015.88,403.6
2019-01-17 5:00,2500.84,398.69
2019-01-17 6:00,5530.14,405.81
2019-01-17 7:00,7393.03,390.31
2019-01-17 8:00,7175.58,405.43
2019-01-17 9:00,6466.85,425.33
2019-01-17 10:00,6330.66,443.59
2019-01-17 11:00,6138.68,468.52
