Uwindow,SHGC,Ropaque,Qinfil,Qventilation,Qcasual,Fafterhours,Mset up/down,"Tsa,clg","Tsa,htg","Tsa,reset","Tafterhours,htg","Tafterhours,clg","Fvav,min-sp","Shtg,summer"
3.1692,0.35914,3.0318,0.85136,0.58655,13.92,0.65555,0.79765,12.291,17.455,0.01595,0.91883,1.2256,0.23442,0.66155
3.4287,0.6793,1.636,0.17303,1.9493,3.5636,0.20305,0.84355,13.432,23.283,0.92355,0.79061,1.2136,0.29853,0.49445
1.7983,0.64342,2.2975,0.28329,1.5242,11.431,0.17245,0.15475,14.711,19.209,0.21635,0.90126,1.2722,0.58352,0.48215
3.4073,0.49826,2.8172,0.8159,1.0574,11.312,0.39805,0.01865,13.734,18.581,0.70145,0.70158,1.1914,0.59047,0.44275
2.8578,0.46302,4.0366,0.68846,1.3766,9.0001,0.44695,0.45345,14.907,22.768,0.82575,0.92974,1.2778,0.44198,0.91475
1.6803,0.35594,4.227,0.53079,0.57989,9.9079,0.85175,0.88515,13.357,22.924,0.41725,0.70376,1.1122,0.48462,0.15045
2.1032,0.67186,2.3608,0.88187,1.9331,5.7583,0.51695,0.28615,14.417,17.379,0.46245,0.99534,1.1298,0.16287,0.55395
2.595,0.30402,1.6395,0.4775,0.68807,3.2984,0.07085,0.99425,13.023,17.962,0.27995,0.73262,1.087,0.23933,0.47685
3.5241,0.37378,4.8875,0.68828,1.997,15.229,0.32925,0.15585,12.378,23.551,0.44335,0.92024,1.1655,0.12393,0.79515
3.5421,0.44038,3.351,0.93336,1.7,11.945,0.89675,0.20065,13.681,21.464,0.71505,0.9667,1.08,0.17652,0.95385
1.8094,0.31958,2.099,0.35403,1.2515,7.7115,0.40925,0.93975,13.942,16.968,0.75335,0.89224,1.1491,0.40192,0.03805
3.5186,0.35398,2.7969,0.75318,1.6169,10.381,0.36575,0.51925,12.766,20.982,0.46045,0.82238,1.2603,0.20408,0.97905
3.5258,0.59414,2.4,0.77838,0.71291,5.947,0.83265,0.13315,12.067,15.928,0.64685,0.94814,1.0651,0.46688,0.79415
2.5302,0.49854,3.5701,0.24621,0.65027,7.29,0.77355,0.36305,12.562,23.115,0.82035,0.94568,1.1238,0.24038,0.98405
3.1612,0.4337,3.722,0.63356,0.36497,15.848,0.35895,0.26375,12.189,20.328,0.54885,0.80882,1.1935,0.41958,0.55615
1.7968,0.39606,2.043,0.14253,1.3469,17.153,0.78835,0.79205,13.831,19.647,0.41385,0.93451,1.2267,0.22123,0.25855
2.364,0.47726,1.6577,0.69207,1.4239,11.491,0.04055,0.56445,13.557,16.217,0.80315,0.99787,1.2586,0.18218,0.75905
3.4017,0.37846,3.1655,0.70781,0.73001,7.8578,0.61305,0.41645,13.427,18.52,0.98885,0.75323,1.1991,0.46478,0.10975
3.1419,0.4271,2.1071,0.22308,0.94043,15.997,0.17015,0.78205,12.943,17.235,0.72335,0.84584,1.2217,0.24908,0.34455
3.5314,0.40142,4.7209,0.89736,1.2749,15.695,0.92935,0.80725,13.484,23.364,0.17795,0.92059,1.142,0.34263,0.90255
2.8718,0.62598,3.0202,0.27348,0.38495,3.9341,0.21395,0.72575,12.275,21.215,0.32915,0.77051,1.1475,0.33737,0.49165
1.5912,0.58062,2.897,0.57507,0.87599,19.822,0.39735,0.30765,14.778,17.555,0.36295,0.85496,1.1386,0.24902,0.41485
3.2547,0.43138,2.0749,0.13262,0.85187,3.4836,0.56575,0.40135,12.138,23.172,0.04455,0.68533,1.1862,0.13812,0.66745
3.4644,0.53074,4.5634,0.83283,0.92369,16.341,0.40685,0.36015,14.169,19.298,0.21605,0.98501,1.1883,0.24438,0.18375
2.9247,0.41642,4.556,0.64599,1.051,19.615,0.28315,0.42055,12.64,19.699,0.61455,0.79592,1.212,0.55483,0.63145
3.0621,0.41038,1.7907,0.46283,0.45821,10.035,0.76235,0.02805,12.921,23.373,0.87425,0.8588,1.1357,0.24638,0.40055
3.0545,0.39086,2.6485,0.67524,0.86231,8.8199,0.21915,0.72855,14.617,19.535,0.24835,0.99883,1.2751,0.50203,0.54925
2.3118,0.56982,3.9117,0.44573,0.40277,13.427,0.62275,0.58285,12.673,17.365,0.14885,0.88302,1.1094,0.48293,0.21265
2.8699,0.50894,2.0976,0.98349,0.95195,5.25,0.94905,0.87175,14.487,17.733,0.48725,0.89592,1.1607,0.56627,0.48475
1.8348,0.33098,2.6457,0.71357,0.51077,6.2292,0.40055,0.31135,14.691,21.462,0.47095,0.95099,1.1288,0.12283,0.68945
3.0054,0.3145,2.89,0.2696,0.83027,11.106,0.01075,0.62475,12.867,15.899,0.61055,0.99349,1.2171,0.23867,0.87885
1.548,0.3987,2.7241,0.83553,0.67871,8.7911,0.49765,0.53215,14.556,20.102,0.80205,0.85227,1.2717,0.27672,0.51005
2.0677,0.47046,4.6621,0.37527,0.67655,11.297,0.03745,0.75735,12.835,23.751,0.42945,0.82331,1.1558,0.52907,0.53345
1.5803,0.41106,2.0794,0.56634,1.1845,3.7183,0.27455,0.23615,14.706,17.446,0.89085,0.74098,1.2282,0.10597,0.22575
1.687,0.56094,2.2012,0.66542,1.5604,3.6877,0.17605,0.85655,12.119,17.809,0.41355,0.89611,1.2479,0.34183,0.96525
3.2925,0.67954,4.8588,0.11256,0.38891,4.6396,0.84405,0.49225,13.21,17.771,0.41275,0.76725,1.2377,0.40248,0.90585
2.9796,0.60786,3.1277,0.79259,1.5501,15.688,0.41405,0.98185,12.266,16.052,0.63865,0.85397,1.1498,0.57773,0.94305
2.17,0.5547,4.1063,0.29823,1.2858,16.419,0.20685,0.38965,13.415,19.078,0.19975,0.71077,1.1152,0.16207,0.16505
3.4993,0.6011,1.7634,0.28077,0.65171,6.5215,0.79965,0.23105,12.168,22.211,0.46775,0.94741,1.1102,0.55873,0.94505
1.5738,0.59962,2.2653,0.78846,0.33509,18.626,0.61595,0.62915,14.93,20.778,0.98845,0.91035,1.1964,0.17213,0.66925
2.3976,0.53398,3.4973,0.34629,1.3249,18.024,0.25895,0.44765,13.159,23.488,0.67035,0.68546,1.1998,0.50048,0.44355
2.262,0.60598,2.5404,0.86486,0.36263,12.805,0.05025,0.16245,14.229,16.23,0.11265,0.70267,1.1798,0.50148,0.25435
3.0951,0.46362,4.7639,0.99374,0.45443,14.255,0.33975,0.13775,13.6,15.743,0.01855,0.81723,1.0683,0.19573,0.23035
3.1975,0.5375,3.66,0.45519,1.6568,17.114,0.36085,0.61005,13.681,20.327,0.56385,0.91605,1.1718,0.40987,0.15705
1.8687,0.3969,1.9422,0.90375,1.052,16.001,0.80015,0.43395,14.13,20.894,0.47625,0.90395,1.2456,0.28323,0.51945
2.4892,0.4159,2.4175,0.57488,0.28109,12.956,0.52745,0.64765,13.628,22.776,0.52595,0.75522,1.1227,0.29833,0.82075
2.434,0.30778,2.035,0.15999,1.4273,9.981,0.19385,0.58005,13.636,16.682,0.78505,0.84274,1.2275,0.59767,0.77615
2.875,0.43706,4.0335,0.47868,0.30485,3.8712,0.64085,0.03415,14.264,18.053,0.52955,0.92114,1.2668,0.13273,0.26315
3.0125,0.35226,4.1857,0.12354,1.6559,3.7641,0.20035,0.74275,14.344,21.426,0.26555,0.69829,1.2237,0.57327,0.35725
3.0764,0.4675,4.4391,0.92129,1.3591,7.987,0.21735,0.57605,12.201,16.888,0.81895,0.68862,1.1006,0.37238,0.32905
2.0658,0.3625,2.0756,0.43124,0.98975,15.562,0.39115,0.04605,12.914,18.577,0.63195,0.96734,1.178,0.21643,0.85855
2.9403,0.6285,3.0188,0.11868,0.49241,8.2555,0.00245,0.22495,12.236,19.539,0.81255,0.94091,1.0889,0.40272,0.42795
2.914,0.59726,4.3348,0.56409,1.3375,8.8777,0.58815,0.00475,12.867,18.986,0.15425,0.73067,1.1527,0.34213,0.44155
1.8151,0.33554,2.252,0.49325,1.7254,12.812,0.16285,0.61885,12.165,16.666,0.46705,0.9251,1.1857,0.34768,0.81155
1.7007,0.6279,3.7906,0.87711,0.40871,6.2359,0.53525,0.69765,12.912,23.026,0.74575,0.82059,1.2201,0.23118,0.00195
2.5304,0.38974,2.5428,0.52548,1.5546,13.405,0.53275,0.41775,14.866,22.46,0.48505,0.98475,1.2512,0.15518,0.64755
3.5249,0.34514,4.0321,0.19778,0.57935,3.6315,0.76125,0.98205,12.768,19.323,0.41185,0.83397,1.1423,0.10323,0.32025
2.1822,0.56442,2.638,0.80151,1.4641,16.679,0.40095,0.81085,13.294,19.877,0.69065,0.89915,1.236,0.22108,0.28295
2.7269,0.6791,4.7156,0.94325,1.3631,9.4489,0.10895,0.36845,13.204,22.345,0.38775,0.80056,1.1875,0.59857,0.78695
1.9117,0.62762,2.315,0.89087,0.56837,7.0451,0.70995,0.04435,12.159,21.863,0.29135,0.80098,1.1755,0.28812,0.16305
3.1259,0.55198,4.0356,0.22235,1.1813,12.699,0.45985,0.86755,13.485,17.473,0.58395,0.95272,1.0975,0.39987,0.63125
2.0278,0.43782,2.0658,0.17753,1.0511,13.473,0.95165,0.60245,12.205,18.822,0.90755,0.77109,1.1524,0.19243,0.29215
2.5438,0.40786,3.0055,0.67479,1.321,8.145,0.14505,0.07875,12.561,20.727,0.38695,0.73077,1.0847,0.59632,0.90675
2.9814,0.47358,3.7969,0.18555,0.59375,11.205,0.01465,0.21645,12.542,19.477,0.80295,0.87442,1.2225,0.11298,0.97865
3.3823,0.43658,1.8712,0.13271,1.5832,13.146,0.78845,0.64285,13.081,22.746,0.04515,0.89176,1.0994,0.54058,0.38505
3.5764,0.64166,3.3307,0.40155,0.77699,17.903,0.10085,0.36675,14.861,15.336,0.47945,0.7292,1.2502,0.56353,0.39295
2.6184,0.30538,2.385,0.68046,0.36083,5.7854,0.47295,0.55765,12.282,17.86,0.81075,0.71227,1.1335,0.18878,0.77645
1.8197,0.5757,2.8256,0.60855,1.3364,11.428,0.03435,0.73845,14.479,15.707,0.99505,0.81061,1.1593,0.46867,0.64705
1.7735,0.4347,3.5137,0.71069,0.66665,12.176,0.50435,0.56465,13.205,23.525,0.40375,0.95442,1.1328,0.35167,0.35225
2.0696,0.42114,4.9505,0.80763,1.4939,17.242,0.87535,0.91255,14.809,18.719,0.36465,0.81234,1.2195,0.42837,0.55115
3.2738,0.55414,1.5915,0.447,1.8993,18.513,0.08475,0.42225,12.261,16.324,0.74425,0.76469,1.1118,0.54753,0.68875
2.0486,0.6689,2.4634,0.1778,1.533,3.0059,0.36755,0.11845,12.97,16.484,0.08715,0.82773,1.0692,0.54843,0.06135
3.2068,0.66186,2.6461,0.48912,1.2079,6.4909,0.41895,0.10965,12.511,16.22,0.32245,0.92309,1.1494,0.10868,0.24525
1.9606,0.6927,2.2348,0.82049,1.8215,7.5892,0.02485,0.61865,12.499,20.924,0.22625,0.83403,1.2311,0.24838,0.21115
3.4882,0.32934,3.7503,0.37221,1.5479,13.956,0.63225,0.45625,14.184,15.678,0.18565,0.81947,1.1076,0.43388,0.29045
2.2137,0.34898,4.0653,0.7656,1.0799,19.469,0.32935,0.56785,12.648,18.708,0.67865,0.97224,1.2361,0.44042,0.24475
1.918,0.69626,3.4287,0.204,1.2504,16.365,0.30945,0.55645,13.61,22.565,0.36395,0.7164,1.1225,0.52077,0.00995
2.0247,0.33206,1.7756,0.26609,1.8237,13.604,0.32165,0.11825,13.557,15.195,0.07585,0.7924,1.271,0.38048,0.40845
2.7733,0.57542,1.9342,0.93498,0.29909,8.6567,0.21715,0.40365,14.122,16.913,0.98715,0.84568,1.0717,0.47833,0.35915
2.4724,0.6745,3.7608,0.80879,0.41015,9.9657,0.43505,0.42915,13.985,22.35,0.31275,0.7748,1.0795,0.54422,0.65115
2.2026,0.35234,2.6009,0.80258,0.40925,12.988,0.12915,0.11145,14.913,19.829,0.00145,0.80104,1.26,0.49387,0.53565
3.2481,0.65994,4.4227,0.89141,1.0744,9.1701,0.52445,0.05845,12.059,19.964,0.83335,0.95358,1.1817,0.27253,0.77905
2.711,0.31426,4.7734,0.91041,1.7114,9.7686,0.56255,0.61665,14.253,23.11,0.36595,0.88357,1.1096,0.55007,0.38495
2.6484,0.43402,4.0996,0.93659,1.5171,3.3323,0.51485,0.79145,13.813,23.342,0.69255,0.88459,1.1745,0.59237,0.91005
3.4355,0.39958,1.6447,0.44556,1.3326,14.676,0.50555,0.10375,12.492,16.215,0.89125,0.97211,1.1826,0.27748,0.84425
2.1576,0.69826,4.2204,0.35772,1.9972,18.444,0.55465,0.41705,12.695,16.191,0.49875,0.68517,1.0875,0.16768,0.47535
3.0724,0.6421,2.7266,0.80817,1.7556,19.785,0.55415,0.19255,12.21,22.148,0.68895,0.7971,1.1657,0.21743,0.17945
3.056,0.61718,4.2662,0.97098,0.32735,6.9601,0.99895,0.98645,12.816,21.111,0.25385,0.68155,1.2766,0.20667,0.21285
2.3027,0.65918,2.0917,0.34142,0.48863,17.821,0.73895,0.25725,14.277,23.073,0.38145,0.95093,1.0944,0.31717,0.34325
2.7206,0.61982,3.7258,0.41199,1.5481,14.937,0.65475,0.42785,14.645,21.446,0.73785,0.91102,1.1505,0.46013,0.53355
1.6465,0.62954,2.0364,0.34737,0.21737,4.4561,0.37975,0.79545,14.08,15.467,0.25875,0.89566,1.2149,0.57458,0.08095
1.6169,0.42834,4.4069,0.52692,1.5884,3.6281,0.27855,0.40315,13.041,19.696,0.38545,0.72408,1.2467,0.34073,0.73565
2.5974,0.60318,2.1291,0.94415,1.4669,17.77,0.93345,0.45705,13.333,23.155,0.77955,0.92686,1.0731,0.11513,0.80005
3.1557,0.56702,2.196,0.1868,0.78761,19.209,0.74955,0.36085,13.739,16.138,0.56445,0.87445,1.2383,0.22998,0.45525
3.422,0.40946,2.1109,0.59955,1.9538,19.333,0.16115,0.76205,12.555,22.995,0.03685,0.80763,1.1405,0.17153,0.41825
1.7775,0.43454,3.0472,0.36852,1.2965,5.1242,0.24065,0.23185,13.251,20.792,0.02685,0.98878,1.1418,0.44863,0.81445
2.737,0.65826,4.626,0.24675,1.0268,15.634,0.52335,0.69455,12.375,16.297,0.26905,0.83886,1.1854,0.35608,0.69355
2.4781,0.31522,3.2775,0.48191,1.6804,19.328,0.17805,0.43945,14.266,15.588,0.59615,0.69973,1.1742,0.50713,0.08225
1.5432,0.58138,3.5417,0.3866,0.96275,9.216,0.85345,0.84065,12.997,19.882,0.22405,0.72421,1.1323,0.27923,0.61655
2.1824,0.38298,1.8365,0.59144,0.59303,11.742,0.70595,0.56305,14.07,20.348,0.54625,0.83762,1.174,0.11628,0.42365
1.8607,0.63102,3.1154,0.27492,0.84989,8.2113,0.60745,0.21895,13.664,18.798,0.06475,0.78475,1.1374,0.32878,0.27395
3.2112,0.39174,3.9999,0.26726,1.2603,5.1989,0.33835,0.07755,14.387,21.764,0.76815,0.88165,1.1193,0.42153,0.89555
2.1276,0.34618,4.969,0.60908,1.3652,16.742,0.55435,0.88955,12.313,18.798,0.60095,0.72616,1.2469,0.21668,0.50995
2.5533,0.54642,2.7416,0.92822,0.63353,15.513,0.29335,0.11175,12.597,20.389,0.15845,0.91624,1.1603,0.21253,0.45255
1.8414,0.33706,1.9149,0.70935,0.20765,13.539,0.84615,0.53225,14.929,21.71,0.27725,0.98245,1.2066,0.35257,0.89255
2.7429,0.62746,2.3717,0.88592,1.4225,12.706,0.52595,0.02785,14.832,22.862,0.73325,0.70088,1.2007,0.21418,0.31775
2.0833,0.66126,4.8808,0.74877,1.2106,7.766,0.11545,0.59245,14.907,22.952,0.78715,0.77794,1.1538,0.52738,0.97505
2.8798,0.42518,4.4661,0.48164,0.37721,4.1433,0.14335,0.63205,14.066,17.495,0.35945,0.91259,1.2775,0.16828,0.84325
2.9934,0.42006,4.1759,0.20787,1.8986,10.459,0.75725,0.19305,13.061,18.464,0.99815,0.77707,1.0915,0.45037,0.05165
3.0543,0.30338,4.2113,0.95081,1.6691,12.628,0.96105,0.49955,13.581,23.768,0.53745,0.84507,1.2419,0.14843,0.21345
2.4537,0.50462,4.7898,0.6314,0.28019,14.042,0.65075,0.02145,13.263,21.282,0.53885,0.81726,1.0656,0.51523,0.89565
1.7628,0.69394,4.6684,0.3813,1.9099,10.62,0.38235,0.68615,14.289,20.205,0.93405,0.69726,1.166,0.35803,0.84715
2.0026,0.5937,3.7734,0.3515,1.4587,10.338,0.23315,0.57485,12.82,17.584,0.32315,0.7755,1.2123,0.20262,0.95375
3.4453,0.42338,4.7377,0.54888,0.61895,3.9036,0.81995,0.97505,12.87,18.579,0.27465,0.90974,1.0612,0.16037,0.66775
1.8126,0.53794,4.297,0.86316,1.1206,5.8178,0.28645,0.12025,13.136,19.355,0.44275,0.78242,1.2492,0.54453,0.73335
3.2532,0.61474,3.5407,0.94812,1.8987,16.475,0.65665,0.06065,12.864,19.09,0.00675,0.98411,1.0932,0.29187,0.88315
2.6597,0.3481,4.5571,0.84471,1.9231,5.7039,0.83445,0.62595,14.949,15.263,0.99075,0.8812,1.2773,0.46022,0.16415
3.5772,0.53518,2.0868,0.58893,1.6028,18.28,0.58115,0.02185,12.923,20.462,0.51005,0.91995,1.1387,0.24877,0.28535
1.6794,0.63434,2.6219,0.57228,0.31133,13.509,0.07545,0.52185,14.286,16.308,0.07085,0.98094,1.2588,0.57878,0.97235
2.4308,0.5743,3.2509,0.58289,1.1615,18.122,0.52455,0.52355,12.598,15.343,0.33105,0.87739,1.1921,0.51887,0.61715
1.6748,0.40502,2.8571,0.64985,1.2409,3.7828,0.52365,0.46105,12.665,22.641,0.92775,0.95502,1.1164,0.55822,0.27465
3.5512,0.43042,2.4949,0.34466,1.5406,11.193,0.12835,0.53335,13.549,19.054,0.59805,0.80328,1.1197,0.45447,0.81915
