OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-1.6696,39.441,4,-2.856,15.34,11,5.5826,5.549,14,3.8387,0.30469,0.26291,0.87601,0.8633,0.89754,0.34843,0.25479,0.62216,0.65948
14,-6.0348,1.3499,9,-1.8441,0.8916,16,5.4291,0.26814,16,2.4675,2.6422,0.93059,0.40797,0.90664,0.83686,0.28116,1.3545,0.61672,1.0824
21,-3.2452,1.17,3,-0.51035,0.030317,14,6.3785,0.053083,1,0,0,0.78314,0.82719,0.85946,NaN,0.41443,0.69994,0.71387,NaN
9,-4.5985,2.2781,1,-1.1624,0.038287,14,5.3938,5.6471,1,0,0,0.81832,0.81524,0.86342,NaN,0.56197,0.81102,0.71004,NaN
12,-4.7445,0.46199,6,-1.2413,0.070021,14,5.1273,5.1633,1,0,0,0.89484,0.84517,0.8657,NaN,0.38539,0.57532,0.71439,NaN
25,-2.1112,5.7874,25,-1.4858,2.5663,13,4.2409,0.27374,13,3.3659,0.070861,0.6499,0.51419,0.87477,0.86536,0.43751,0.54127,0.62372,0.74262
9,-4.6098,31.613,8,-1.3686,0.13723,14,7.2765,0.017465,1,0,0,0.79626,0.81437,0.87593,NaN,0.31758,0.58808,0.66603,NaN
16,-3.1422,0.89693,6,-1.6155,0.53969,15,2.4908,0.098989,17,1.5536,0.087918,0.81725,0.85119,0.88841,0.84466,0.45032,0.53519,0.64909,1.0712
1,-3.1775,117.64,4,-1.4267,0.15477,12,7.3907,0.35392,1,0,0,0.27534,0.85622,0.85536,NaN,0.22459,0.59276,0.6515,NaN
12,-5.2857,5.2907,3,-1.4167,0.1935,14,6.0878,6.3101,1,0,0,0.91726,0.83757,0.86122,NaN,0.34285,0.66203,0.7196,NaN
14,-3.9495,0.019212,14,-1.5725,0.12204,15,3.8976,4.1213,15,2.0614,2.1101,0.93124,0.5385,0.9048,0.85788,0.2861,0.90638,0.60927,0.93941
2,-5.1653,62.331,1,-2.7229,10.305,13,6.7124,0.42791,16,3.0054,0.28097,0.70172,0.73711,0.86289,0.87072,0.24917,0.4757,0.6573,0.8632
